alias,checkpoint,write_objective,step,direction,component,mean,reconstruction_token_accuracy,token_count,gradient_norm_mean,example_count,token_accuracy,exact_match
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,0,B,energy_key,1827.847061157238,0.007056451612903226,1984,724.1850876346712,124,0.5685483870967742,0.16129032258064516
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,0,B,energy_value,3642.634613775438,0.0045362903225806455,1984,724.1850876346712,124,0.5685483870967742,0.16129032258064516
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,0,B,reconstruction_key,6.994448651769949,0.007056451612903226,1984,724.1850876346712,124,0.5685483870967742,0.16129032258064516
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,0,B,reconstruction_value,32.668139654962765,0.0045362903225806455,1984,724.1850876346712,124,0.5685483870967742,0.16129032258064516
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,0,F,energy_key,1.3313452896079417e-21,0.008522727272727272,2112,710.6628140536221,132,0.5340909090909091,0.10606060606060606
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,0,F,energy_value,3656.7383392796373,0.00946969696969697,2112,710.6628140536221,132,0.5340909090909091,0.10606060606060606
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,0,F,reconstruction_key,6.139036427872877,0.008522727272727272,2112,710.6628140536221,132,0.5340909090909091,0.10606060606060606
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,0,F,reconstruction_value,6.713437474530303,0.00946969696969697,2112,710.6628140536221,132,0.5340909090909091,0.10606060606060606
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,1,B,energy_key,1383.612574246622,0.008064516129032258,1984,143.60825784744756,124,0.5685483870967742,0.16129032258064516
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,1,B,energy_value,3872.097993173907,0.02721774193548387,1984,143.60825784744756,124,0.5685483870967742,0.16129032258064516
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,1,B,reconstruction_key,11.839891594793317,0.008064516129032258,1984,143.60825784744756,124,0.5685483870967742,0.16129032258064516
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,1,B,reconstruction_value,25.398004120957335,0.02721774193548387,1984,143.60825784744756,124,0.5685483870967742,0.16129032258064516
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,1,F,energy_key,1406.5816768732939,0.006628787878787879,2112,139.82969544150612,132,0.5340909090909091,0.10606060606060606
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,1,F,energy_value,3960.840092341105,0.05823863636363636,2112,139.82969544150612,132,0.5340909090909091,0.10606060606060606
energy-failed,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_1/checkpoint-308500,energy,1,F,reconstruction_key,26.271523890398605,0.006628787878787879,2112,139.82969544150612,132,0.5340909090909091,0.10606060606060606
