alias,checkpoint,training_K,K,direction,token_accuracy,exact_match,exact_matches,example_count
lip-noise-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_grad_second_stepalign0.1_iread0.1_mnoise0.03_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-103000,2,1,B,0.9959677419354839,0.9919354838709677,123,124
lip-noise-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_grad_second_stepalign0.1_iread0.1_mnoise0.03_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-103000,2,1,F,0.9242424242424242,0.8560606060606061,113,132
lip-noise-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_grad_second_stepalign0.1_iread0.1_mnoise0.03_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-103000,2,2,B,0.9959677419354839,0.9919354838709677,123,124
lip-noise-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_grad_second_stepalign0.1_iread0.1_mnoise0.03_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-103000,2,2,F,0.9507575757575758,0.9015151515151515,119,132
lip-noise-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_grad_second_stepalign0.1_iread0.1_mnoise0.03_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-103000,2,4,B,0.9959677419354839,0.9919354838709677,123,124
lip-noise-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_grad_second_stepalign0.1_iread0.1_mnoise0.03_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-103000,2,4,F,0.9431818181818182,0.8863636363636364,117,132
lip-noise-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_grad_second_stepalign0.1_iread0.1_mnoise0.03_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-103000,2,8,B,1.0,1.0,124,124
lip-noise-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_grad_second_stepalign0.1_iread0.1_mnoise0.03_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-103000,2,8,F,0.9318181818181818,0.8712121212121212,115,132
lip-search-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-128500,2,0,B,0.0,0.0,0,124
lip-search-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-128500,2,0,F,0.0,0.0,0,132
lip-search-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-128500,2,1,B,1.0,1.0,124,124
lip-search-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-128500,2,1,F,0.9659090909090909,0.9318181818181818,123,132
lip-search-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-128500,2,2,B,1.0,1.0,124,124
lip-search-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-128500,2,2,F,0.9848484848484849,0.9696969696969697,128,132
lip-search-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-128500,2,4,B,0.9838709677419355,0.967741935483871,120,124
lip-search-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-128500,2,4,F,0.9886363636363636,0.9772727272727273,129,132
lip-search-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-128500,2,8,B,0.9516129032258065,0.9112903225806451,113,124
lip-search-s143,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_1/checkpoint-128500,2,8,F,0.9583333333333334,0.9166666666666666,121,132
lip-search-s144,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_2/checkpoint-136000,2,0,B,0.004032258064516129,0.0,0,124
lip-search-s144,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_2/checkpoint-136000,2,0,F,0.003787878787878788,0.0,0,132
lip-search-s144,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_2/checkpoint-136000,2,1,B,0.9879032258064516,0.9758064516129032,121,124
lip-search-s144,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_2/checkpoint-136000,2,1,F,0.8787878787878788,0.7727272727272727,102,132
lip-search-s144,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_2/checkpoint-136000,2,2,B,0.9959677419354839,0.9919354838709677,123,124
lip-search-s144,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_2/checkpoint-136000,2,2,F,0.9318181818181818,0.8712121212121212,115,132
lip-search-s144,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_2/checkpoint-136000,2,4,B,0.9919354838709677,0.9838709677419355,122,124
lip-search-s144,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_2/checkpoint-136000,2,4,F,0.9318181818181818,0.8787878787878788,116,132
lip-search-s144,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_2/checkpoint-136000,2,8,B,0.28225806451612906,0.20161290322580644,25,124
lip-search-s144,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_lip0.003_L5_msearch1.0_n4_r0.25_gainema0.99_mingain0.3_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32_init_plateau/run_2/checkpoint-136000,2,8,F,0.8598484848484849,0.7651515151515151,101,132
